,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
20,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)",[0.79430487 0.78918486 0.78916706],0.7908855973334986,"('paperless_billing', 'monthly_charges', 'total_charges', 'internet_service', 'online_security', 'online_backup', 'device_protection', 'tech_support', 'streaming_tv', 'streaming_movies', 'gender', 'senior_citizen', 'partner', 'dependents', 'multiple_lines', 'type_One year', 'type_Two year', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'payment_method_Mailed check')",0.005440850400667204,0.0024178018069591144,0.0017096440532658778
19,"(0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)",[0.80499708 0.79122044 0.79182043],0.7960126495615564,"('paperless_billing', 'monthly_charges', 'total_charges', 'internet_service', 'online_security', 'online_backup', 'tech_support', 'streaming_tv', 'streaming_movies', 'gender', 'senior_citizen', 'partner', 'dependents', 'multiple_lines', 'type_One year', 'type_Two year', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'payment_method_Mailed check')",0.014306848749294228,0.006357668785323057,0.004495550710639974
18,"(0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19)",[0.80430968 0.78656711 0.79198755],0.7942881127458826,"('paperless_billing', 'monthly_charges', 'total_charges', 'internet_service', 'online_security', 'online_backup', 'tech_support', 'streaming_tv', 'streaming_movies', 'gender', 'senior_citizen', 'partner', 'dependents', 'multiple_lines', 'type_One year', 'type_Two year', 'payment_method_Credit card (automatic)', 'payment_method_Mailed check')",0.01670599078365251,0.007423798070023055,0.005249417957472906
17,"(0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 19)",[0.80764416 0.78167405 0.79722992],0.795516042625528,"('paperless_billing', 'monthly_charges', 'total_charges', 'internet_service', 'online_security', 'online_backup', 'tech_support', 'streaming_tv', 'streaming_movies', 'gender', 'senior_citizen', 'dependents', 'multiple_lines', 'type_One year', 'type_Two year', 'payment_method_Credit card (automatic)', 'payment_method_Mailed check')",0.024013920751257117,0.01067129156453971,0.007545742629304831
16,"(0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 14, 15, 16, 17, 19)",[0.80770429 0.78404661 0.7958409 ],0.7958639335493537,"('paperless_billing', 'monthly_charges', 'total_charges', 'internet_service', 'online_security', 'online_backup', 'tech_support', 'streaming_tv', 'streaming_movies', 'gender', 'senior_citizen', 'multiple_lines', 'type_One year', 'type_Two year', 'payment_method_Credit card (automatic)', 'payment_method_Mailed check')",0.021734182609485318,0.00965822290933582,0.006829394913402623
15,"(0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 15, 16, 17, 19)",[0.80627484 0.78676436 0.78816982],0.7937363390433972,"('paperless_billing', 'monthly_charges', 'total_charges', 'internet_service', 'online_security', 'online_backup', 'tech_support', 'streaming_tv', 'streaming_movies', 'gender', 'senior_citizen', 'type_One year', 'type_Two year', 'payment_method_Credit card (automatic)', 'payment_method_Mailed check')",0.019993285672069414,0.008884604182289474,0.006282363865455248
14,"(0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 15, 16, 17)",[0.80471966 0.78519316 0.78939582],0.793102879357448,"('paperless_billing', 'monthly_charges', 'total_charges', 'internet_service', 'online_security', 'online_backup', 'tech_support', 'streaming_tv', 'streaming_movies', 'gender', 'senior_citizen', 'type_One year', 'type_Two year', 'payment_method_Credit card (automatic)')",0.01888380242295917,0.00839157268777151,0.005933737952343057
13,"(0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 15, 16)",[0.80408283 0.78259869 0.7866945 ],0.7911253393218699,"('paperless_billing', 'monthly_charges', 'total_charges', 'internet_service', 'online_security', 'online_backup', 'tech_support', 'streaming_tv', 'streaming_movies', 'gender', 'senior_citizen', 'type_One year', 'type_Two year')",0.020958792666541392,0.009313655595939763,0.006585749029525043
12,"(0, 1, 2, 4, 5, 7, 8, 9, 10, 11, 15, 16)",[0.80679414 0.77884397 0.78499453],0.7902108813243518,"('paperless_billing', 'monthly_charges', 'total_charges', 'online_security', 'online_backup', 'tech_support', 'streaming_tv', 'streaming_movies', 'gender', 'senior_citizen', 'type_One year', 'type_Two year')",0.02698586713273987,0.011991963298218224,0.008479598567910304
11,"(0, 1, 2, 4, 5, 7, 8, 9, 11, 15, 16)",[0.80265611 0.77809878 0.78643834],0.7890644080400268,"('paperless_billing', 'monthly_charges', 'total_charges', 'online_security', 'online_backup', 'tech_support', 'streaming_tv', 'streaming_movies', 'senior_citizen', 'type_One year', 'type_Two year')",0.022944369198103175,0.0101960048928947,0.007209664200777061
10,"(0, 1, 2, 4, 5, 7, 8, 11, 15, 16)",[0.79596528 0.77583992 0.79060813],0.7874711061288006,"('paperless_billing', 'monthly_charges', 'total_charges', 'online_security', 'online_backup', 'tech_support', 'streaming_tv', 'senior_citizen', 'type_One year', 'type_Two year')",0.0191510140747256,0.008510316039803791,0.006017702181785905
