,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(4,)",[0.633136   0.65205599 0.64873276],0.6446415832116895,"('online_security',)",0.018560768687340527,0.008248023151913707,0.005832233102101824
2,"(4, 18)",[0.68765067 0.72051495 0.71306578],0.7070771308240097,"('online_security', 'payment_method_Electronic check')",0.03166031213505167,0.01406919033826596,0.009948419893992116
3,"(4, 16, 18)",[0.72101188 0.74818291 0.74157071],0.7369218331898857,"('online_security', 'type_Two year', 'payment_method_Electronic check')",0.02603488111476018,0.011569364707310046,0.008180776238559251
4,"(4, 15, 16, 18)",[0.762026   0.76717159 0.7684154 ],0.7658709955879529,"('online_security', 'type_One year', 'type_Two year', 'payment_method_Electronic check')",0.006224041550593867,0.0027658358159910225,0.0019557412611358803
5,"(3, 4, 15, 16, 18)",[0.78582244 0.77030304 0.78190555],0.7793436764620294,"('internet_service', 'online_security', 'type_One year', 'type_Two year', 'payment_method_Electronic check')",0.014828902133753803,0.006589658552239033,0.004659592247992147
6,"(3, 4, 5, 15, 16, 18)",[0.7883725  0.77333585 0.78542603],0.7823781288602264,"('internet_service', 'online_security', 'online_backup', 'type_One year', 'type_Two year', 'payment_method_Electronic check')",0.014640690805087316,0.0065060213159562254,0.004600451791056873
7,"(3, 4, 5, 15, 16, 18, 19)",[0.78870321 0.76924415 0.78831365],0.7820870050097634,"('internet_service', 'online_security', 'online_backup', 'type_One year', 'type_Two year', 'payment_method_Electronic check', 'payment_method_Mailed check')",0.02043897950473692,0.009082661337810948,0.006422411423187001
8,"(0, 3, 4, 5, 15, 16, 18, 19)",[0.78549173 0.77168383 0.78454386],0.7805731384813495,"('paperless_billing', 'internet_service', 'online_security', 'online_backup', 'type_One year', 'type_Two year', 'payment_method_Electronic check', 'payment_method_Mailed check')",0.0141716514980509,0.0062975899126688955,0.004453068532380174
9,"(0, 3, 4, 5, 15, 16, 17, 18, 19)",[0.78136599 0.76372234 0.78094119],0.7753431721283919,"('paperless_billing', 'internet_service', 'online_security', 'online_backup', 'type_One year', 'type_Two year', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'payment_method_Mailed check')",0.01849545563641311,0.008218999377885488,0.005811710194670844
10,"(0, 3, 4, 5, 8, 15, 16, 17, 18, 19)",[0.76646742 0.75874161 0.77650292],0.7672373157672915,"('paperless_billing', 'internet_service', 'online_security', 'online_backup', 'streaming_tv', 'type_One year', 'type_Two year', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'payment_method_Mailed check')",0.01636311128287121,0.007271429485057621,0.0051416770978040495
