,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
20,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)",[0.80234434 0.78131872 0.81869137 0.78133182],0.7959215587917704,"('paperless_billing', 'monthly_charges', 'total_charges', 'internet_service', 'online_security', 'online_backup', 'device_protection', 'tech_support', 'streaming_tv', 'streaming_movies', 'gender', 'senior_citizen', 'partner', 'dependents', 'multiple_lines', 'type_One year', 'type_Two year', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'payment_method_Mailed check')",0.02516501639352317,0.0156988830376247,0.00906375434774907
19,"(0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)",[0.79947632 0.78769386 0.82018206 0.78345659],0.7977022062827678,"('paperless_billing', 'monthly_charges', 'total_charges', 'internet_service', 'online_security', 'online_backup', 'tech_support', 'streaming_tv', 'streaming_movies', 'gender', 'senior_citizen', 'partner', 'dependents', 'multiple_lines', 'type_One year', 'type_Two year', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'payment_method_Mailed check')",0.022833288648050416,0.014244263633475118,0.008223929443194855
18,"(0, 1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)",[0.80230833 0.78982533 0.82394608 0.78190575],0.799496373510348,"('paperless_billing', 'monthly_charges', 'total_charges', 'internet_service', 'online_security', 'online_backup', 'streaming_tv', 'streaming_movies', 'gender', 'senior_citizen', 'partner', 'dependents', 'multiple_lines', 'type_One year', 'type_Two year', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'payment_method_Mailed check')",0.025454795823593737,0.0158796583372807,0.009168125015668297
17,"(0, 1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19)",[0.79931552 0.78902724 0.82313116 0.78518083],0.7991636847662208,"('paperless_billing', 'monthly_charges', 'total_charges', 'internet_service', 'online_security', 'online_backup', 'streaming_tv', 'streaming_movies', 'gender', 'senior_citizen', 'partner', 'dependents', 'multiple_lines', 'type_One year', 'type_Two year', 'payment_method_Electronic check', 'payment_method_Mailed check')",0.023677653114970963,0.014771009922848632,0.008528046555159291
16,"(0, 1, 2, 3, 4, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19)",[0.79975712 0.79321062 0.82167276 0.7878258 ],0.8006165748188188,"('paperless_billing', 'monthly_charges', 'total_charges', 'internet_service', 'online_security', 'streaming_tv', 'streaming_movies', 'gender', 'senior_citizen', 'partner', 'dependents', 'multiple_lines', 'type_One year', 'type_Two year', 'payment_method_Electronic check', 'payment_method_Mailed check')",0.020630466332595722,0.012870060281400477,0.007430532767953276
15,"(0, 1, 2, 3, 4, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18)",[0.80023712 0.7938761  0.81808763 0.78834356],0.8001361043214437,"('paperless_billing', 'monthly_charges', 'total_charges', 'internet_service', 'online_security', 'streaming_tv', 'streaming_movies', 'gender', 'senior_citizen', 'partner', 'dependents', 'multiple_lines', 'type_One year', 'type_Two year', 'payment_method_Electronic check')",0.01793118112461103,0.011186144717719438,0.006458323663969427
14,"(0, 1, 2, 3, 4, 9, 10, 11, 12, 13, 14, 15, 16, 18)",[0.79949312 0.78869691 0.81838577 0.78690018],0.798368993817018,"('paperless_billing', 'monthly_charges', 'total_charges', 'internet_service', 'online_security', 'streaming_movies', 'gender', 'senior_citizen', 'partner', 'dependents', 'multiple_lines', 'type_One year', 'type_Two year', 'payment_method_Electronic check')",0.020069589849010132,0.012520164450749214,0.007228520315938442
13,"(0, 1, 2, 3, 4, 9, 10, 11, 12, 14, 15, 16, 18)",[0.7964475  0.79566278 0.81436089 0.78348101],0.7974880443356491,"('paperless_billing', 'monthly_charges', 'total_charges', 'internet_service', 'online_security', 'streaming_movies', 'gender', 'senior_citizen', 'partner', 'multiple_lines', 'type_One year', 'type_Two year', 'payment_method_Electronic check')",0.0176565357749112,0.01101481062620361,0.006359403880111404
12,"(0, 1, 2, 4, 9, 10, 11, 12, 14, 15, 16, 18)",[0.79223067 0.79503106 0.81549382 0.77959048],0.7955865064443769,"('paperless_billing', 'monthly_charges', 'total_charges', 'online_security', 'streaming_movies', 'gender', 'senior_citizen', 'partner', 'multiple_lines', 'type_One year', 'type_Two year', 'payment_method_Electronic check')",0.020648989060569806,0.012881615455275813,0.007437204150700734
11,"(0, 1, 2, 4, 9, 10, 11, 12, 15, 16, 18)",[0.79379068 0.78939373 0.81187888 0.77753409],0.7931493462255776,"('paperless_billing', 'monthly_charges', 'total_charges', 'online_security', 'streaming_movies', 'gender', 'senior_citizen', 'partner', 'type_One year', 'type_Two year', 'payment_method_Electronic check')",0.0197815187630081,0.012340454880330202,0.007124764947081073
10,"(0, 1, 2, 4, 9, 11, 12, 15, 16, 18)",[0.79320988 0.79096823 0.80732728 0.76940379],0.790227294756213,"('paperless_billing', 'monthly_charges', 'total_charges', 'online_security', 'streaming_movies', 'senior_citizen', 'partner', 'type_One year', 'type_Two year', 'payment_method_Electronic check')",0.02173610129297599,0.01355979692428166,0.007828752404390677
