,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(2,)",[0.65917142 0.64750588 0.65808356 0.641307  ],0.6515169657534826,"('total_charges',)",0.01194309639574609,0.007450552405447704,0.004301578436896646
2,"(1, 2)",[0.75923766 0.75773504 0.77001262 0.72328895],0.7525685676727011,"('monthly_charges', 'total_charges')",0.028140887250015848,0.017555343124143002,0.010135582078440208
3,"(1, 2, 11)",[0.78270261 0.76603671 0.76831571 0.73376871],0.7627059336760131,"('monthly_charges', 'total_charges', 'senior_citizen')",0.028672691138581723,0.01788710237734573,0.010327123372582953
4,"(1, 2, 11, 16)",[0.78203301 0.77947417 0.77785369 0.7427538 ],0.7705286674131169,"('monthly_charges', 'total_charges', 'senior_citizen', 'type_Two year')",0.025815852276271103,0.016104898922540977,0.009298167728200748
5,"(1, 2, 11, 15, 16)",[0.78517943 0.7901629  0.7869718  0.74076091],0.7757687579971575,"('monthly_charges', 'total_charges', 'senior_citizen', 'type_One year', 'type_Two year')",0.03252521092484696,0.020290449014555907,0.01171469620053223
6,"(1, 2, 11, 14, 15, 16)",[0.78704424 0.78890186 0.79333211 0.74800467],0.7793207174950219,"('monthly_charges', 'total_charges', 'senior_citizen', 'multiple_lines', 'type_One year', 'type_Two year')",0.02921282154531065,0.01822405602552553,0.010521663652063987
7,"(1, 2, 4, 11, 14, 15, 16)",[0.78828745 0.78814475 0.79833092 0.753363  ],0.7820315265854993,"('monthly_charges', 'total_charges', 'online_security', 'senior_citizen', 'multiple_lines', 'type_One year', 'type_Two year')",0.027345547645238312,0.01705918038634297,0.009849122388209498
8,"(1, 2, 4, 11, 14, 15, 16, 18)",[0.78456502 0.78565401 0.80003776 0.75860898],0.7822164438994298,"('monthly_charges', 'total_charges', 'online_security', 'senior_citizen', 'multiple_lines', 'type_One year', 'type_Two year', 'payment_method_Electronic check')",0.02394089367739838,0.014935229279422157,0.008622858644883163
9,"(0, 1, 2, 4, 11, 14, 15, 16, 18)",[0.78567143 0.78647622 0.80107877 0.77208784],0.7863285640898998,"('paperless_billing', 'monthly_charges', 'total_charges', 'online_security', 'senior_citizen', 'multiple_lines', 'type_One year', 'type_Two year', 'payment_method_Electronic check')",0.016441703079088866,0.010256952331825322,0.00592185418984451
10,"(0, 1, 2, 4, 11, 13, 14, 15, 16, 18)",[0.78859945 0.78736835 0.80366265 0.77584893],0.7888698433456165,"('paperless_billing', 'monthly_charges', 'total_charges', 'online_security', 'senior_citizen', 'dependents', 'multiple_lines', 'type_One year', 'type_Two year', 'payment_method_Electronic check')",0.01584234507366333,0.009883050281546459,0.005705981740465455
